"cntry_key","sector","year","value"
"DNK","sb",2003,58413.9512108262
"DNK","sb",2004,65813.7965188746
"DNK","sb",2005,68323.0613425926
"DNK","sb",2006,67350.5664618946
"DNK","sb",2007,80986.3392539174
"DNK","tour",2003,169770.396523327
"DNK","tour",2004,184337.445468305
"DNK","tour",2005,190900.343327102
"DNK","tour",2006,197022.84210292
"DNK","tour",2007,230426.159633191
"DNK","tran",2003,170878.277466168
"DNK","tran",2004,186673.794738248
"DNK","tran",2005,196979.528356481
"DNK","tran",2006,214452.646456553
"DNK","tran",2007,238506.443643162
