"rgn_id","sector","year","value"
1,"cf",2003,5511.5298
2,"cf",2003,5511.5298
3,"cf",2003,5511.5298
4,"cf",2003,5511.5298
5,"cf",2003,5511.5298
6,"cf",2003,5511.5298
7,"cf",2003,5511.5298
8,"cf",2003,5511.5298
9,"cf",2003,5511.5298
10,"cf",2003,5511.5298
11,"cf",2003,5511.5298
12,"cf",2003,5511.5298
13,"cf",2003,5511.5298
14,"cf",2003,5511.5298
1,"cf",2004,5149.0145
2,"cf",2004,5149.0145
3,"cf",2004,5149.0145
4,"cf",2004,5149.0145
5,"cf",2004,5149.0145
6,"cf",2004,5149.0145
7,"cf",2004,5149.0145
8,"cf",2004,5149.0145
9,"cf",2004,5149.0145
10,"cf",2004,5149.0145
11,"cf",2004,5149.0145
12,"cf",2004,5149.0145
13,"cf",2004,5149.0145
14,"cf",2004,5149.0145
1,"cf",2005,4742.6778
2,"cf",2005,4742.6778
3,"cf",2005,4742.6778
4,"cf",2005,4742.6778
5,"cf",2005,4742.6778
6,"cf",2005,4742.6778
7,"cf",2005,4742.6778
8,"cf",2005,4742.6778
9,"cf",2005,4742.6778
10,"cf",2005,4742.6778
11,"cf",2005,4742.6778
12,"cf",2005,4742.6778
13,"cf",2005,4742.6778
14,"cf",2005,4742.6778
1,"cf",2006,4199.8145
2,"cf",2006,4199.8145
3,"cf",2006,4199.8145
4,"cf",2006,4199.8145
5,"cf",2006,4199.8145
6,"cf",2006,4199.8145
7,"cf",2006,4199.8145
8,"cf",2006,4199.8145
9,"cf",2006,4199.8145
10,"cf",2006,4199.8145
11,"cf",2006,4199.8145
12,"cf",2006,4199.8145
13,"cf",2006,4199.8145
14,"cf",2006,4199.8145
1,"cf",2007,3745.0686
2,"cf",2007,3745.0686
3,"cf",2007,3745.0686
4,"cf",2007,3745.0686
5,"cf",2007,3745.0686
6,"cf",2007,3745.0686
7,"cf",2007,3745.0686
8,"cf",2007,3745.0686
9,"cf",2007,3745.0686
10,"cf",2007,3745.0686
11,"cf",2007,3745.0686
12,"cf",2007,3745.0686
13,"cf",2007,3745.0686
14,"cf",2007,3745.0686
1,"cf",2008,1660.309
2,"cf",2008,1660.309
3,"cf",2008,1660.309
4,"cf",2008,1660.309
5,"cf",2008,1660.309
6,"cf",2008,1660.309
7,"cf",2008,1660.309
8,"cf",2008,1660.309
9,"cf",2008,1660.309
10,"cf",2008,1660.309
11,"cf",2008,1660.309
12,"cf",2008,1660.309
