"rgn_id","species_code","year","tonnes"
12,209,2006,0
4,209,2006,0
8,209,2006,0
10,209,2006,0
2,209,2006,0
14,209,2006,0
7,209,2006,0
11,209,2006,0
5,209,2006,0
3,209,2006,0
1,209,2006,0
9,209,2006,0
6,209,2006,0
13,209,2006,0
12,209,2008,5
4,209,2008,5
8,209,2008,5
10,209,2008,5
2,209,2008,5
14,209,2008,5
7,209,2008,5
11,209,2008,5
5,209,2008,5
3,209,2008,5
1,209,2008,5
9,209,2008,5
6,209,2008,5
13,209,2008,5
12,209,2009,0
4,209,2009,0
8,209,2009,0
10,209,2009,0
2,209,2009,0
14,209,2009,0
7,209,2009,0
11,209,2009,0
5,209,2009,0
3,209,2009,0
1,209,2009,0
9,209,2009,0
6,209,2009,0
13,209,2009,0
12,209,2010,0
4,209,2010,0
8,209,2010,0
10,209,2010,0
2,209,2010,0
14,209,2010,0
7,209,2010,0
11,209,2010,0
5,209,2010,0
3,209,2010,0
1,209,2010,0
9,209,2010,0
6,209,2010,0
13,209,2010,0
12,209,2011,0
4,209,2011,0
8,209,2011,0
10,209,2011,0
2,209,2011,0
14,209,2011,0
7,209,2011,0
11,209,2011,0
5,209,2011,0
3,209,2011,0
1,209,2011,0
9,209,2011,0
6,209,2011,0
13,209,2011,0
12,209,2012,0
4,209,2012,0
8,209,2012,0
10,209,2012,0
2,209,2012,0
14,209,2012,0
7,209,2012,0
11,209,2012,0
5,209,2012,0
3,209,2012,0
1,209,2012,0
9,209,2012,0
6,209,2012,0
13,209,2012,0
12,210,2003,0
4,210,2003,0
8,210,2003,0
10,210,2003,0
2,210,2003,0
14,210,2003,0
7,210,2003,0
11,210,2003,0
5,210,2003,0
3,210,2003,0
1,210,2003,0
9,210,2003,0
6,210,2003,0
13,210,2003,0
12,210,2004,1
4,210,2004,1
8,210,2004,1
10,210,2004,1
2,210,2004,1
14,210,2004,1
7,210,2004,1
11,210,2004,1
5,210,2004,1
3,210,2004,1
1,210,2004,1
9,210,2004,1
6,210,2004,1
13,210,2004,1
12,210,2005,1
4,210,2005,1
8,210,2005,1
10,210,2005,1
2,210,2005,1
14,210,2005,1
7,210,2005,1
11,210,2005,1
5,210,2005,1
3,210,2005,1
1,210,2005,1
9,210,2005,1
6,210,2005,1
13,210,2005,1
12,210,2006,0
4,210,2006,0
8,210,2006,0
10,210,2006,0
2,210,2006,0
14,210,2006,0
7,210,2006,0
11,210,2006,0
5,210,2006,0
3,210,2006,0
1,210,2006,0
9,210,2006,0
6,210,2006,0
13,210,2006,0
12,210,2007,0
4,210,2007,0
8,210,2007,0
10,210,2007,0
2,210,2007,0
14,210,2007,0
7,210,2007,0
11,210,2007,0
5,210,2007,0
3,210,2007,0
1,210,2007,0
9,210,2007,0
6,210,2007,0
13,210,2007,0
12,210,2008,0
4,210,2008,0
8,210,2008,0
10,210,2008,0
2,210,2008,0
14,210,2008,0
7,210,2008,0
11,210,2008,0
5,210,2008,0
3,210,2008,0
1,210,2008,0
9,210,2008,0
6,210,2008,0
13,210,2008,0
12,210,2009,0
4,210,2009,0
8,210,2009,0
10,210,2009,0
2,210,2009,0
14,210,2009,0
7,210,2009,0
11,210,2009,0
5,210,2009,0
3,210,2009,0
1,210,2009,0
9,210,2009,0
6,210,2009,0
13,210,2009,0
12,210,2010,0
4,210,2010,0
8,210,2010,0
10,210,2010,0
2,210,2010,0
14,210,2010,0
7,210,2010,0
11,210,2010,0
5,210,2010,0
3,210,2010,0
1,210,2010,0
9,210,2010,0
6,210,2010,0
13,210,2010,0
12,210,2011,0
4,210,2011,0
8,210,2011,0
10,210,2011,0
2,210,2011,0
14,210,2011,0
7,210,2011,0
11,210,2011,0
5,210,2011,0
3,210,2011,0
1,210,2011,0
9,210,2011,0
6,210,2011,0
13,210,2011,0
12,210,2012,0
4,210,2012,0
8,210,2012,0
