"cntry_key","sector","year","value"
"DNK","aqf",2004,1960000
"DNK","aqf",2005,1163456
"DNK","aqf",2006,67805.4054053376
"DNK","aqf",2007,8243.9537329072
"DNK","aqf",2008,1588.65248227392
"DNK","aqf",2009,939232
"DNK","cf",2002,11841936495.424
"DNK","cf",2007,6340344717.056
"DNK","mar",2002,34121330.79076
"DNK","mar",2007,78530981.07353
"DNK","mmw",1998,0
"DNK","mmw",2008,3800.81
"DNK","og",2004,10425847004.104
"DNK","og",2005,13925547055.756
"DNK","og",2006,14631312334.94
"DNK","og",2007,14409018547.532
"DNK","og",2008,17144905107.764
"DNK","og",2009,9616392144.24
"DNK","tour",2007,18539901028
"DNK","tour",2008,17951179548.2
"DNK","tour",2009,18414435794.6
"DNK","tour",2010,18559203371.6
"DNK","tour",2011,2.0104e+10
"DNK","tour",2012,2.0401e+10
