"rgn_id","habitat","health"
12,"soft_bottom",0.903656562515
4,"soft_bottom",0.903656562515
8,"soft_bottom",0.903656562515
10,"soft_bottom",0.903656562515
2,"soft_bottom",0.903656562515
14,"soft_bottom",0.903656562515
7,"soft_bottom",0.903656562515
11,"soft_bottom",0.903656562515
5,"soft_bottom",0.903656562515
3,"soft_bottom",0.903656562515
1,"soft_bottom",0.903656562515
9,"soft_bottom",0.903656562515
6,"soft_bottom",0.903656562515
13,"soft_bottom",0.903656562515
12,"seagrass",1
4,"seagrass",1
8,"seagrass",1
10,"seagrass",1
2,"seagrass",1
14,"seagrass",1
7,"seagrass",1
11,"seagrass",1
5,"seagrass",1
3,"seagrass",1
1,"seagrass",1
9,"seagrass",1
6,"seagrass",1
13,"seagrass",1
12,"seaice_edge",0.915095941586008
4,"seaice_edge",0.915095941586008
8,"seaice_edge",0.915095941586008
10,"seaice_edge",0.915095941586008
2,"seaice_edge",0.915095941586008
14,"seaice_edge",0.915095941586008
7,"seaice_edge",0.915095941586008
11,"seaice_edge",0.915095941586008
5,"seaice_edge",0.915095941586008
3,"seaice_edge",0.915095941586008
1,"seaice_edge",0.915095941586008
9,"seaice_edge",0.915095941586008
6,"seaice_edge",0.915095941586008
13,"seaice_edge",0.915095941586008
12,"seaice_shoreline",1
4,"seaice_shoreline",1
8,"seaice_shoreline",1
10,"seaice_shoreline",1
2,"seaice_shoreline",1
14,"seaice_shoreline",1
7,"seaice_shoreline",1
11,"seaice_shoreline",1
5,"seaice_shoreline",1
3,"seaice_shoreline",1
1,"seaice_shoreline",1
9,"seaice_shoreline",1
6,"seaice_shoreline",1
13,"seaice_shoreline",1
