"rgn_id","year","popsum"
1,2005,262257.737687753
2,2005,495029.48203871
3,2005,262321.633063461
4,2005,45383.4274656499
5,2005,186953.700264222
6,2005,312867.479079309
7,2005,169758.747440102
8,2005,1462007.65378141
9,2005,347739.105621175
10,2005,269001.760140067
11,2005,155551.30923254
12,2005,517482.872664825
13,2005,100223.434494633
14,2005,443152.150721801
1,2006,227722.761081229
2,2006,432607.852825252
3,2006,226360.468473401
4,2006,37864.4778350326
5,2006,161252.219522211
6,2006,273151.906082798
7,2006,149872.861817833
8,2006,1283160.92108289
9,2006,306080.357336516
10,2006,234698.430830992
11,2006,135675.662793834
12,2006,454160.461581064
13,2006,86832.966376396
14,2006,385959.506642318
1,2007,227559.070577942
2,2007,431493.682667175
3,2007,225709.1498953
4,2007,37610.8893318077
5,2007,161936.77478392
6,2007,273764.624511506
7,2007,149571.943149837
8,2007,1285161.4137406
9,2007,306734.047212251
10,2007,236050.021532229
11,2007,135408.308544637
12,2007,454913.663601046
13,2007,86379.3844331999
14,2007,385238.70160112
1,2008,227395.377917549
2,2008,430379.502555247
3,2008,225057.823575622
4,2008,37357.3010437481
5,2008,162621.332060227
6,2008,274377.334736814
7,2008,149271.018445129
8,2008,1287161.90564941
9,2008,307387.73463968
10,2008,237401.611757994
11,2008,135140.954378145
12,2008,455666.84611815
13,2008,85925.7990523641
14,2008,384517.881499229
1,2009,227231.680385244
2,2009,429265.324602229
3,2009,224406.496117674
4,2009,37103.7114192139
5,2009,163305.883982119
6,2009,274990.048347068
7,2009,148970.09154996
8,2009,1289162.35388138
9,2009,308041.414114705
10,2009,238753.199680061
11,2009,134873.597203244
12,2009,456420.030863293
13,2009,85472.2156346475
14,2009,383797.069275918
1,2010,261382.722722457
2,2010,488620.191062651
3,2010,258523.309787888
4,2010,43868.0720369887
5,2010,190776.617207721
6,2010,316404.142811077
7,2010,168078.193712954
8,2010,1473784.91905561
9,2010,351480.096855681
10,2010,276708.064198167
11,2010,154005.735400766
12,2010,521799.835405357
13,2010,97629.3606175895
14,2010,438983.242921607
1,2011,226795.371027906
2,2011,426833.654081231
3,2011,222992.475825724
4,2011,36584.7215053186
5,2011,164607.788215172
6,2011,276066.769183195
7,2011,148294.905901256
8,2011,1292463.43280814
9,2011,309181.195560714
10,2011,241359.987834011
11,2011,134273.919479783
12,2011,457708.650020805
13,2011,84532.5461731732
14,2011,382161.428972548
1,2012,226522.757513028
2,2012,425516.162675093
3,2012,222229.785077153
4,2012,36319.3197360392
5,2012,165225.139723171
6,2012,276530.782443828
7,2012,147920.648181964
8,2012,1293764.05787281
9,2012,309667.298509686
10,2012,242615.194950201
11,2012,133941.596562058
12,2012,458244.087193932
13,2012,84046.4628620774
14,2012,381246.595499109
1,2013,226250.138545092
2,2013,424198.66141767
3,2013,221467.088887015
4,2013,36053.9177848313
5,2013,165842.487141736
6,2013,276994.793943488
7,2013,147546.384848679
8,2013,1295064.64911669
9,2013,310153.395987937
10,2013,243870.401838701
11,2013,133609.272918938
12,2013,458779.506716972
13,2013,83560.378758754
14,2013,380331.768670993
1,2014,225977.519091472
2,2014,422881.169631538
3,2014,220704.394877863
4,2014,35788.515249353
5,2014,166459.828563357
6,2014,277458.801282971
7,2014,147172.120816987
8,2014,1296365.26571613
9,2014,310639.486383292
10,2014,245125.601139729
11,2014,133276.949210342
12,2014,459314.939415594
13,2014,83074.2925963368
14,2014,379416.927271409
1,2015,259877.551806534
2,2015,481050.979901439
3,2015,254080.992996252
4,2015,42282.5315869986
5,2015,194198.255770077
6,2015,319088.116295154
7,2015,165983.644984467
8,2015,1481576.75950885
9,2015,354267.854283494
10,2015,283855.04528141
11,2015,152089.200473644
12,2015,524876.206467091
13,2015,94848.2024132892
14,2015,433704.114578449
