"rgn_id","component","value"
12,"livelihood",0.177221745002444
4,"livelihood",0.177221745002444
8,"livelihood",0.177221745002444
10,"livelihood",0.177221745002444
2,"livelihood",0.177221745002444
14,"livelihood",0.177221745002444
7,"livelihood",0.177221745002444
11,"livelihood",0.177221745002444
5,"livelihood",0.177221745002444
3,"livelihood",0.177221745002444
1,"livelihood",0.177221745002444
9,"livelihood",0.177221745002444
6,"livelihood",0.177221745002444
13,"livelihood",0.177221745002444
12,"economy",-0.142412722890043
4,"economy",-0.142412722890043
8,"economy",-0.142412722890043
10,"economy",-0.142412722890043
2,"economy",-0.142412722890043
14,"economy",-0.142412722890043
7,"economy",-0.142412722890043
11,"economy",-0.142412722890043
5,"economy",-0.142412722890043
3,"economy",-0.142412722890043
1,"economy",-0.142412722890043
9,"economy",-0.142412722890043
6,"economy",-0.142412722890043
13,"economy",-0.142412722890043
