"rgn_id","year","usd"
1,1998,8911158320.4512
2,1998,16675822747.655
3,1998,8703218854.17246
4,1998,1411278107.32259
5,1998,6564148028.0293
6,1998,10941262279.4321
7,1998,5803559903.78795
8,1998,51120643196.6098
9,1998,12249703664.6581
10,1998,9666240469.11369
11,1998,5255620115.02281
12,1998,18112545710.4608
13,1998,3275937255.44791
14,1998,14961861347.8363
1,2002,8922858343.46873
2,2002,16697717489.3898
3,2002,8714645860.32122
4,2002,1413131063.55409
5,2002,6572766512.88352
6,2002,10955627754.2566
7,2002,5811179764.41842
8,2002,51187762720.3084
9,2002,12265787074.8816
10,2002,9678931887.21161
11,2002,5262520550.8703
12,2002,18136326816.5861
13,2002,3280238440.5368
14,2002,14981505721.3128
1,2004,12558435232.604
2,2004,23501124365.1887
3,2004,12265387547.2576
4,2004,1988904704.49023
5,2004,9250809479.84517
6,2004,15419447030.1167
7,2004,8178917773.57268
8,2004,72043977174.1342
9,2004,17263424636.7437
10,2004,13622567404.6821
11,2004,7406709930.20162
12,2004,25525888332.6498
13,2004,4616756247.52383
14,2004,21085650140.9897
1,2005,13222873381.8626
2,2005,24744515224.7571
3,2005,12914321212.2321
4,2005,2094133113.63728
5,2005,9740248698.67193
6,2005,16235254784.6276
7,2005,8611645648.32432
8,2005,75855659598.9106
9,2005,18176793038.3837
10,2005,14343306358.7691
11,2005,7798582050.17257
12,2005,26876404833.1367
13,2005,4861018284.94063
14,2005,22201243771.5736
1,2006,14079900067.8965
2,2006,26348305056.8279
3,2006,13751349412.6291
4,2006,2229862157.59503
5,2006,10371552714.2439
6,2006,17287525815.5271
7,2006,9169800439.50652
8,2006,80772164709.8306
9,2006,19354902837.2554
10,2006,15272952734.4417
11,2006,8304038976.00164
12,2006,28618370856.8185
13,2006,5176080092.70229
14,2006,23640194128.7239
1,2007,15980691965.2311
2,2007,29905336322.6044
3,2007,15607786845.771
4,2007,2530894402.20546
5,2007,11771716299.7059
6,2007,19621348416.3025
7,2007,10407727007.9862
8,2007,91676437855.9646
9,2007,21967822127.1185
10,2007,17334807198.3234
11,2007,9425087415.59416
12,2007,32481861874.3141
13,2007,5874852886.02602
14,2007,26831629382.8526
1,2008,17646559716.1873
2,2008,33022744221.4436
3,2008,17234782023.8733
4,2008,2794721236.16752
5,2008,12998829781.3844
6,2008,21666727404.153
7,2008,11492654795.912
8,2008,101233021618.362
9,2008,24257803469.5992
10,2008,19141831346.1863
11,2008,10407582366.9856
12,2008,35867853313.5561
13,2008,6487262410.32796
14,2008,29628626295.8619
1,2009,15935893192.8876
2,2009,29821502508.8569
3,2009,15564033440.6488
4,2009,2523799530.31904
5,2009,11738716574.8035
6,2009,19566343769.2768
7,2009,10378550962.6775
8,2009,91419440732.3293
9,2009,21906239595.868
10,2009,17286212426.3958
11,2009,9398666009.91493
12,2009,32390805270.5973
13,2009,5858383874.6988
14,2009,26756412110.7256
1,2010,16080655319.7843
2,2010,30092401923.04
3,2010,15705417582.5157
4,2010,2546725800.18341
5,2010,11845351424.6885
6,2010,19744085016.9966
7,2010,10472830027.7589
8,2010,92249897646.1612
9,2010,22105236526.7474
10,2010,17443240893.3003
11,2010,9484043770.99294
12,2010,32685044307.35
13,2010,5911601607.75045
14,2010,26999468152.7303
1,2011,17119802100.9464
2,2011,32037000695.5346
3,2011,16720316154.9389
4,2011,2711297570.74472
5,2011,12610808961.0834
6,2011,21019966004.7048
7,2011,11149593965.3339
8,2011,98211171132.5469
9,2011,23533697303.177
10,2011,18570439211.2076
11,2011,10096911428.5008
12,2011,34797182022.4303
13,2011,6293614757.09322
14,2011,28744198691.7575
