"rgn_id","year","area_km2"
12,0,2
4,0,2
8,0,2
10,0,2
2,0,2
14,0,2
7,0,2
11,0,2
5,0,2
3,0,2
1,0,2
9,0,2
6,0,2
13,0,2
12,1918,2
4,1918,2
8,1918,2
10,1918,2
2,1918,2
14,1918,2
7,1918,2
11,1918,2
5,1918,2
3,1918,2
1,1918,2
9,1918,2
6,1918,2
13,1918,2
12,1919,1
4,1919,1
8,1919,1
10,1919,1
2,1919,1
14,1919,1
7,1919,1
11,1919,1
5,1919,1
3,1919,1
1,1919,1
9,1919,1
6,1919,1
13,1919,1
12,1922,1
4,1922,1
8,1922,1
10,1922,1
2,1922,1
14,1922,1
7,1922,1
11,1922,1
5,1922,1
3,1922,1
1,1922,1
9,1922,1
6,1922,1
13,1922,1
12,1924,4
4,1924,4
8,1924,4
10,1924,4
2,1924,4
14,1924,4
7,1924,4
11,1924,4
5,1924,4
3,1924,4
1,1924,4
9,1924,4
6,1924,4
13,1924,4
12,1928,1
4,1928,1
8,1928,1
10,1928,1
2,1928,1
14,1928,1
7,1928,1
11,1928,1
5,1928,1
3,1928,1
1,1928,1
9,1928,1
6,1928,1
13,1928,1
12,1929,4
4,1929,4
8,1929,4
10,1929,4
2,1929,4
14,1929,4
7,1929,4
11,1929,4
5,1929,4
3,1929,4
1,1929,4
9,1929,4
6,1929,4
13,1929,4
12,1932,3
4,1932,3
8,1932,3
10,1932,3
2,1932,3
14,1932,3
7,1932,3
11,1932,3
5,1932,3
3,1932,3
1,1932,3
9,1932,3
6,1932,3
13,1932,3
12,1934,12
4,1934,12
8,1934,12
10,1934,12
2,1934,12
14,1934,12
7,1934,12
11,1934,12
5,1934,12
3,1934,12
1,1934,12
9,1934,12
6,1934,12
13,1934,12
12,1935,4
4,1935,4
8,1935,4
10,1935,4
2,1935,4
14,1935,4
7,1935,4
11,1935,4
5,1935,4
3,1935,4
1,1935,4
9,1935,4
6,1935,4
13,1935,4
12,1936,3
4,1936,3
8,1936,3
10,1936,3
2,1936,3
14,1936,3
7,1936,3
11,1936,3
5,1936,3
3,1936,3
1,1936,3
9,1936,3
6,1936,3
13,1936,3
12,1937,6
4,1937,6
8,1937,6
